                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0231,                  6.787,                 2.9238,                0.00947,                 0.6677,                0.01194,                0.00639,                 1.6644,                 3.6901,                 1.4887,              0.0033257,              0.0033257,              0.0033257
                      2,                 1.4403,                 3.5055,                 1.1873,                0.07357,                0.17063,                 0.0578,                0.04286,                0.95647,                 2.6656,                 1.0109,              0.0065272,              0.0065272,              0.0065272
                      3,                 1.1329,                  2.855,                 1.0281,                0.17894,                0.50603,                0.19979,                 0.1459,                0.97291,                 2.2011,                 0.9803,              0.0095967,              0.0095967,              0.0095967
                      4,                0.95474,                 2.1822,                0.96105,                0.50978,                 0.7178,                0.62079,                 0.5045,                 0.7378,                 1.3082,                0.90501,               0.009406,               0.009406,               0.009406
                      5,                0.83437,                 1.5897,                0.91926,                0.69304,                0.84953,                0.81676,                0.70068,                0.59376,                0.89444,                0.86714,               0.009208,               0.009208,               0.009208
                      6,                 0.7695,                 1.2638,                0.89858,                 0.7701,                0.89875,                0.88976,                0.76779,                0.57474,                 0.7505,                0.85312,                0.00901,                0.00901,                0.00901
                      7,                0.72569,                 1.0833,                0.88736,                0.80325,                0.90008,                0.91581,                0.80486,                0.53035,                 0.6643,                0.84405,               0.008812,               0.008812,               0.008812
                      8,                0.68873,                0.94035,                0.87732,                0.87467,                0.93859,                0.95372,                0.84572,                0.51015,                0.54959,                0.84116,               0.008614,               0.008614,               0.008614
                      9,                0.66446,                0.84084,                0.86913,                0.90548,                0.94627,                0.96665,                 0.8559,                0.51006,                0.49634,                0.83736,               0.008416,               0.008416,               0.008416
                     10,                0.64303,                0.76332,                0.86491,                0.93595,                0.95957,                0.97532,                0.87661,                0.47028,                0.43628,                0.82813,               0.008218,               0.008218,               0.008218
                     11,                0.62112,                0.70786,                0.85986,                0.93289,                0.96992,                0.97279,                 0.8738,                0.47426,                0.41868,                0.82766,                0.00802,                0.00802,                0.00802
                     12,                0.60569,                 0.6637,                0.85566,                0.93942,                0.96894,                0.97728,                0.88396,                0.45639,                 0.3978,                0.82399,               0.007822,               0.007822,               0.007822
                     13,                0.59374,                0.63534,                 0.8523,                0.94617,                0.97873,                0.97764,                0.88264,                0.45642,                0.37053,                0.82312,               0.007624,               0.007624,               0.007624
                     14,                0.58176,                0.60188,                0.84927,                0.95694,                0.97673,                0.98233,                0.89259,                0.43709,                0.34979,                0.81698,               0.007426,               0.007426,               0.007426
                     15,                0.57576,                0.58624,                0.84718,                 0.9556,                0.97837,                0.98295,                 0.8979,                0.42742,                0.33272,                0.81402,               0.007228,               0.007228,               0.007228
                     16,                0.56037,                0.55893,                0.84277,                0.94415,                0.98466,                0.97896,                0.89029,                0.43987,                0.33835,                0.81879,                0.00703,                0.00703,                0.00703
                     17,                 0.5535,                0.54423,                 0.8424,                 0.9492,                0.98588,                0.98016,                0.90022,                0.41806,                0.32112,                0.81284,               0.006832,               0.006832,               0.006832
                     18,                0.54482,                0.52738,                0.83893,                0.96272,                0.97865,                 0.9848,                0.89289,                0.44771,                0.31505,                0.81613,               0.006634,               0.006634,               0.006634
                     19,                0.53852,                0.51065,                0.83857,                0.96086,                0.98357,                0.98518,                0.90775,                0.40505,                0.30212,                0.80817,               0.006436,               0.006436,               0.006436
                     20,                0.53001,                0.50591,                0.83638,                0.96056,                0.98237,                0.98427,                0.90134,                0.42329,                0.30355,                0.81206,               0.006238,               0.006238,               0.006238
                     21,                0.52393,                0.49048,                0.83445,                0.96058,                0.97972,                0.98395,                0.90945,                0.40247,                0.29148,                0.80662,                0.00604,                0.00604,                0.00604
                     22,                 0.5199,                0.48291,                0.83335,                0.96092,                0.98539,                0.98516,                0.91079,                0.40168,                0.28676,                0.80711,               0.005842,               0.005842,               0.005842
                     23,                0.51245,                0.47365,                 0.8312,                0.96699,                0.98072,                0.98628,                 0.9117,                0.39989,                0.28082,                0.80624,               0.005644,               0.005644,               0.005644
                     24,                0.50475,                0.46533,                0.82976,                0.96185,                0.98289,                0.98556,                0.91399,                0.39348,                0.27858,                0.80456,               0.005446,               0.005446,               0.005446
                     25,                0.50119,                0.45733,                 0.8283,                0.96401,                0.98284,                 0.9857,                0.91735,                0.38473,                0.27375,                0.80279,               0.005248,               0.005248,               0.005248
                     26,                0.49742,                0.45146,                0.82893,                0.96798,                0.98429,                0.98712,                0.92179,                0.37641,                0.26455,                0.80122,                0.00505,                0.00505,                0.00505
                     27,                0.49017,                0.44275,                 0.8265,                0.96999,                0.98151,                0.98748,                0.92447,                 0.3714,                0.26235,                0.79991,               0.004852,               0.004852,               0.004852
                     28,                0.48572,                0.43508,                0.82608,                0.96019,                0.98819,                0.98555,                0.91949,                0.37716,                0.26372,                0.80075,               0.004654,               0.004654,               0.004654
                     29,                 0.4813,                0.42695,                0.82419,                0.96222,                0.98753,                0.98589,                 0.9234,                0.36949,                 0.2586,                0.79915,               0.004456,               0.004456,               0.004456
                     30,                0.48129,                 0.4309,                0.82525,                 0.9626,                0.98731,                 0.9862,                0.92676,                0.36498,                0.25558,                0.79812,               0.004258,               0.004258,               0.004258
                     31,                0.47484,                0.41861,                0.82367,                0.97423,                0.98013,                0.98807,                0.92703,                0.36914,                 0.2521,                0.79874,                0.00406,                0.00406,                0.00406
                     32,                0.47049,                0.41396,                0.82317,                0.97206,                0.98055,                0.98774,                0.92835,                0.36215,                0.24918,                0.79746,               0.003862,               0.003862,               0.003862
                     33,                 0.4655,                0.40709,                0.82163,                0.97026,                0.98219,                 0.9869,                0.92964,                0.35768,                0.24746,                0.79642,               0.003664,               0.003664,               0.003664
                     34,                 0.4613,                0.40217,                0.82019,                0.96886,                0.98247,                0.98709,                 0.9302,                0.35576,                0.24547,                0.79622,               0.003466,               0.003466,               0.003466
                     35,                0.45597,                 0.3933,                0.81858,                0.96903,                0.98642,                0.98808,                0.93184,                 0.3544,                0.24216,                0.79574,               0.003268,               0.003268,               0.003268
                     36,                0.45171,                0.39179,                0.81859,                0.97298,                0.98232,                0.98803,                0.93278,                0.35291,                0.24004,                0.79514,                0.00307,                0.00307,                0.00307
                     37,                0.44874,                 0.3858,                0.81816,                0.97235,                0.98274,                0.98791,                0.93443,                0.34784,                0.23831,                 0.7943,               0.002872,               0.002872,               0.002872
                     38,                0.44569,                0.38151,                0.81787,                0.97153,                0.98609,                0.98829,                0.93459,                0.34813,                0.23665,                0.79429,               0.002674,               0.002674,               0.002674
                     39,                0.44457,                 0.3772,                0.81548,                0.97166,                0.98264,                0.98775,                0.93366,                0.34694,                0.23608,                0.79394,               0.002476,               0.002476,               0.002476
                     40,                0.43831,                0.37285,                0.81611,                0.97082,                0.98633,                0.98801,                0.93468,                0.34461,                0.23404,                0.79346,               0.002278,               0.002278,               0.002278
                     41,                0.40072,                0.30174,                0.81143,                0.97085,                 0.9873,                0.98841,                0.93674,                0.34274,                0.23121,                0.79341,                0.00208,                0.00208,                0.00208
                     42,                0.39324,                0.29275,                0.80956,                0.97294,                0.98614,                0.98873,                0.93822,                0.33924,                0.22823,                0.79268,               0.001882,               0.001882,               0.001882
                     43,                0.38954,                0.28764,                0.80697,                0.97523,                0.98671,                0.98925,                0.94003,                0.33748,                 0.2249,                0.79213,               0.001684,               0.001684,               0.001684
                     44,                0.38467,                0.28111,                0.80837,                0.97601,                0.98502,                 0.9893,                0.94069,                 0.3342,                0.22288,                0.79152,               0.001486,               0.001486,               0.001486
                     45,                0.38117,                0.27718,                0.80534,                0.97463,                0.98666,                0.98931,                0.94134,                0.33305,                0.22175,                0.79116,               0.001288,               0.001288,               0.001288
                     46,                0.37693,                0.27296,                0.80454,                0.97474,                0.98532,                0.98903,                0.94183,                0.33167,                0.22122,                0.79083,                0.00109,                0.00109,                0.00109
                     47,                0.37339,                0.26763,                0.80535,                 0.9736,                0.98808,                0.98928,                0.94273,                 0.3296,                0.21969,                0.79049,               0.000892,               0.000892,               0.000892
                     48,                 0.3698,                0.26289,                0.80323,                0.97518,                0.98813,                 0.9895,                0.94355,                0.32947,                0.21822,                0.79037,               0.000694,               0.000694,               0.000694
                     49,                0.36654,                0.25878,                0.80286,                0.97608,                0.98846,                0.98965,                0.94402,                0.32861,                  0.217,                 0.7901,               0.000496,               0.000496,               0.000496
                     50,                0.36242,                0.25491,                0.80303,                0.97631,                0.98908,                0.98986,                0.94468,                0.32812,                0.21582,                0.78997,               0.000298,               0.000298,               0.000298
